Mensahe di Pasco di Gobernador di Aruba 2019	Governor’s Christmas speech 2019
SVb ta categorisa e dunadonan di trabou den 4 grupo:	SVb categorizes employers in 4 groups;
Dunado di trabou cu a entrega peticion caba cu e formulario di reduccion di 20% y cu no ta desea flexibilisacion	Employers that already submitted their requests with the form for the 20% reduction and do not wish flexibilization
Dunado di trabou cu a entrega peticion caba cu e formulario di reduccion di 20% y cu si ta desea flexibilisacion	Employers that already submitted their requests with the form for the 20% reduction and do wish flexibilization
Dunado di trabou cu no a entrega peticion ainda y cu no ta desea flexibilisacion	Employers that have not submitted their request yet and do not wish flexibilization
Dunado di trabou cu no a entrega peticion ainda y cu si ta desea flexibilisacion	Employers that have not submitted their request yet and wish flexibilization
Dunado di trabou den categoria 3 ta sigui e procedura riba MiSVb manera stipula den e notificacion di 3 di juni ultimo	Employers in group 1 do not have to take any further actions and should wait on the evaluation of the petition
Dunado di trabou den categoria 2 mester haya un lista nobo pa nan aplica e flexibilisacion	Employers in group 2 should receive a new list for the reapplication in order to request the flexibilization
E grupo aki tin cu manda un e-mail na lsflex@svbaruba.org y solicita un lista nobo pa nan yena	They have to send an email to lsflex@svbaruba.org and request a new list
 E dunado di trabou ta ricibi un lista nobo y ta debolbe esaki yena y firma pa trahadonan cu ta acepta e condicion na lsflex@svbaruba.org	This completed list should be returned to lsflex@svbaruba.org and should be signed by all employees accepting the conditions
Dunado di trabou den categoria 3 ta sigui e procedura riba MiSVb manera stipula den e notificacion di 3 di juni ultimo	Employers in group 3 should follow the procedure on MiSVb as stated in the notification published on June 3, 2020
Dunado di trabou den categoria 4 tin cu manda un e-mail na lsflex@svbaruba.org	Employers in group 4 should send their email to lsflex@svbaruba.org and request the new list
y solicita un lista nobo pa nan yena. E lista nobo yena y firma e ta upload den su MiSVb na momento di  E lista nobo yena y firma e ta upload den su MiSVb na momento di completa su aplicacion pa subsidio di salario	The new list should be completed, signed, and uploaded into their MiSVb once the application for the salary subsidy is completed
Pa por duna tur dunado di trabou e oportunidad pa entrega nan aplicacion  pa subsidio di salario pa luna di juni SVb a hala e fecha cu ta cera e aplicacion pa luna di juni	To provide employers sufficient time to apply for the salary subsidy for the month of June, the deadline has been extended
 Dunado di trabou tin awor te cu dia 19 di juni, 2020 (fin di dia) pa aplica pa subsidio di salario pa luna di juni, 2020	Now employers have until June 19, 2020, to apply for the salary subsidy for the month of June 2020
E cambio aki pa luna di juni y e control cu SVb mester haci pa cu e declaracionnan di acuerdo cu firma di trahado tin como consecuencia cu pago di subsidio di salario pa luna di juni di parti di SVb pa e dunado di trabou lo cuminsa entrante 26 di juni, 2020	These changes and the controls that are needed by the SVb regarding the employees' agreement declaration and the payment of the salary subsidy by the Svb in June will start June 26, 2020
Dunado di trabou ta responsabel pa verifica cu su cuenta di banco ta corectamente registra na SVb	 Employers have the responsibility to verify that they have registered the correct bank account at the SVb
Pa facilita e proceso di aplicacion y contesta pregunta di dunado di trabou y trahado relaciona cu e programa di Subsidio di Salario por tuma contacto cu e Service Center via mail na loonsubsidie@svbaruba.org	To facilitate the application process and more information for both employers and employees related to the salary subsidy please contact the service center by email at  loonsubsidie@svbaruba.org
Tambe por subi ariba e pagina di SVb www.svbaruba.org y bay na e topico Subsidio di Salario (na Doño di Trabou)	Please visit SVb on www.svbaruba.org and check the “salary subsidy” tab (for employers)
 Hibando un maneho pa reduci e transmision di COVID-19 Departamento di Salud Publico (DVG) ta informa cu nan lo no tuma placa cash mas pa su servicionan	 To reduce the possibilities of COVID-19 infections, the Department of Public Health (DVG) is announcing that they will no longer accept cash payments for any service
Departamento di Salud Publico ta duna diferente servicio na comunidad, entre otro vacuna pa biahero, aplicacion of renobacion di certificado di salud (carchi berde) y mas	The DVG renders a variety of services to the community including travelers vaccinations, application or renovation of health certificates (green card), and many other services
Den pasado por a paga pa tur e servicionan aki cu placa cash of via carchi di swipe	Until recently cash payment and debit card payments where both accepted
 Pa motibo di COVID-19 nos maneho a conoce diferente cambio y uno di nan ta encera cu clientenan lo no por paga mas cu placa cash	Due to the COVID-19, management decided to make some changes, including stopping cash payments
 Pago di tur servicio mester sosode pa medio di carchi of swipe pa di e manera aki limita e intercambio di placa cash y e risco di transmision di COVID-19	From now on payments can only be completed by debit cards, to reduce interchange of cash and to reduce the risk of COVID-19 transmission
 Entrante dialuna, dia 8 di juni 2020, Departamento di Impuesto a introduci un otro number di telefon pa asina su contribuyentenan por tin mas posibilidad pa comunica cu e departamento	Starting on Monday, June 8, 2020, the Tax Department has an extra contact phone number to make itself more accessible to the public
E number di contacto nobo ta 522 7424	The new number is 522 7424
E number aki lo ta den funcion hunto cu e number central 522 7423	The new number will be in addition to the current number of 522 7423
Departamento di Impuesto ta un organisacion grandi y tin hopi persona ta yama diariamente pa un servicio y no tur ora por drenta den contacto mesora cu e departamento	The Tax Department is a big organization that receives countless calls daily and with one contact number, many incoming calls take a while to be answered
Pesey e number nobo 522 7424 ta wordo introduci y lo wordo atendi pa un team dinamico di mas of menos 11 persona cu lo ta cla pa duna guia y ayudo basico riba tereno fiscal	The additional phone number will help ease this situation and a team of 11 highly motivated individuals is ready to provide guidance and support
Alabes Departamento di Impuesto ta anuncia cu e seccion “Servicio na cliente” cu antes tawata atende cliente personalmente na Camacuri, awor ta dunando servicio via e number di contacto nobo	The Tax Department also announced that the customer service that was being provided in person at the Camacuri could now be provided by phone
E orario di servicio na telefon ta fiho: 7:45 - 11:30 y 1:15 - 3:30	Customer service by phone is available between 7:45 am - 11:30 am and 1:15 pm - 3:30 pm
Esaki ta e mesun orario cu lo mantene pa atende tur otro yamada cu ta drenta diariamente	All other calls are answered in these same hours
Departamento di Asunto Economico ta informa tocante e prijsnan maximo p’e periodo aki	Department of Economic Affairs announces the maximum prices for the coming period
Entrante 13 di juni 2020 a fiha e prijsnan maximo pa diferente producto	As per June 13, 2020 the following prices are established for various products
Pa bo conveniencia por download e lista di prijsnan maximo	For more information see attached list
https://www.gobierno.aw/document.php?fileid=76900&f=09c25e89d90afe4dad1eea22ff8f938b&attachment=1&c=47173	https://www.government.aw/document.php?fileid=76909&f=7f8f643fc298e475f074d6ca8f136d22&attachment=1&c=47176
Pa eventual kehonan, fabor tuma contacto telefonico na 5212423	Note: If you have any complaints, please call tel: 5212423
Proximo publicacion lo tuma lugar dia 27 di juni 2020	Next publication of maximum prices is on June 27, 2020
Mester entrega peticion pa aumento di prijs prome cu 20 di juni 2020 pa por procesa esaki	Requests for price increase must be submitted before June 20, 2020 for processing
Relaciona cu e crisis di Coronavirus COVID-19 Gobierno di Aruba a tuma e siguiente decisionnan	In connection with the Coronavirus COVID-19 pandemic, the Government of Aruba took the following crisis measures to prevent the spread of COVID-19
Entrante 10 di juli 2020 ta habri frontera pa henter Merca	Starting July 10, 2020, borders will reopen for travel to the United States
Entrante 1 di juli 2020 lo habri frontera pa Europa, Canada y Caribe cu excepcion di Republica Dominicana y Haiti	Starting July 1, 2020, international borders for Europe, Canada and the Caribbean will reopen for travel with the exception of The Dominican Republic and Haiti
Entrante 15 di juni 2020 lo habri e “Bubble ABC” cual ta encera; Aruba, Boneiro y Corsow. Lo por biaha entre e islanan aki di Reino Hulandes den Caribe sin cu mester bay den cuarentena pero haciendo medische screening of test ora di yega	Starting June 15, 2020, “Bubble ABC” will begin, which includes; Aruba, Bonaire and Curacao. Travel is possible between the Dutch Kingdom Islands in the Caribbean without having to go into quarantine, but doing a medical screening or a test on arrival
Entrante 10 di juni 2020 centronan di fiesta por habri	Starting June 10, 2020, establishments for holding parties can open
Entrante 10 di juni 2020 bar y club nocturno por habri (segun orario di ciere)	Starting June 10, 2020, bars and nightclubs can open (according to their closing time)
Entrante 10 di juni 2020 conferencianan y lugarnan di reunion por habri	Starting June 10, 2020, conferences and places to meet/gather can be reopened
Entrante 10 di juni 2020 por haci deporte paden	Starting June 10, 2020, indoor sporting activities are permitted
Entrante 10 di juni 2020 por bishita pa Cas di Cuido di nos grandinan, segun protocol	Starting June 10, 2020, visiting Elderly care homes is permitted, following the protocol’s guidelines
Entrante 1 di juni 2020 luganan di Spa, Salon di Massage y Sauna por habri	Starting June 1, 2020, Spa, Massage Services and Sauna's are allowed to reopen
Entrante 1 di juni 2020 parti paden di restaurant por ta habri te cu 10'or di anochi	Starting June 1, 2020, restaurants with inside seating are allowed to stay open till 10:00 PM
Entrante 1 di juni 2020 e oficinanan di Lotto y di otro weganan por habri te cu 6'or y mei di atardi. Casinonan si ainda meser keda cera	Starting June 1, 2020, lottery kiosks and other lottery games will remain open till 6:30 PM. Casino's will remain closed for now
Entrante 28 di mei Toque de Queda ta ser kita, manera stipula den AB2020No.80	Starting May 28, 2020, the curfew is lifted, as stipulated in the AB2020No.80
Entrante 25 di ,mei 2020, toque de queda ta entre 12.00 am te cu 5.00am y orario di cierre di establecimento ta 10.00 pm segun AB2020No.78	Starting May 25, 2020, the curfew will be from 12 am to 5 am and all establishments must close by 10 pm, according to the AB2020No.78
Riba 8 di mei 2020, Minister di Turismo, Salud Publico y Deporte, Sr. Dangui Oduber, a anuncia cu e frontera di Aruba lo habri tentativamente entre 15 di juni y 1 di juli, 2020	On May 8, 2020, the Minister of Tourism, Public Health and Sport, Mr. Dangui Oduber, announced that the Aruban border will open tentatively between June15 and July 1, 2020
Entrante 28 april 2020 adapta e toque de queda, pero e ta keda na vigor di 10 or di anochi te cu 5 or di mainta cu excepcion pa Botica na Warda y Hospital, conforme AB2020No.62	Starting April 28, 2020, the curfew has been adapted and is now in effect from 10:00 pm until 5:00 am. Exceptions are the pharmacies on duty and the hospital as stated in the Official Gazette AB2020No.62
Entrante 28 di april, 2020 e orario di ciere di establecimento a cambia pa 9.00 pm	Starting Starting April 28, 2020, all establishments must close at 9.00 pm
Ta extende e lockdown aereo te cu 31 di mei 2020, manera anuncia door di Prome Minister, mr. Evelyn Wever-Croes riba 20 di maart 2020. E-mail pa Arubianonan residente cu ta pega den exterior: RegresoAruba@crisis.aw	who are stuck abroad (due to the border closure) can send an email to RegresoAruba@crisis.aw
Scolnan ta keda cera te cu 11 di mei 2020, manera anuncia riba 9 di april 2020 door di Minister di Enseñansa, dr. Armando (Rudy) Lampe	Schools remain closed until May 11, 2020, as announced on April 9, 2020 by Minister of Education, Dr. Armando (Rudy) Lampe
E-mail pa Arubianonan residente cu ta pega den exterior: RegresoAruba@crisis.aw	E-mail for assistance for residents (inscribed in the civil registry of Aruba) stuck abroad: RegresoAruba@crisis.aw
Medidanan ta na vigor te cu 19 april 2020, segun AB2020No.46	These measures are valid till April 19, 2020, pursuant to AB2020No.46
Entrante diadomingo 29 di maart un estado di Shelter in place ta drenta na vigor segun e AB2020No.43. Esaki ta encera cu hende ta prohibi pa sali di cas, si no ta pa cosnan esencial manera cumpra cuminda, bay botica, of pa haci ehercicio. Esaki medida aki ta aplica pa e gruponan no esencial. Adhunto e lista di e gruponan No esencial. Negoshinan cu ta ricibi cliente mester maneha nan clientela manteniendo distancia di 2 meter leu entre cada persona. Si no haci esaki gobierno por cera e negoshi y compania ta haya un multa. Tambe a decreta samenscholingsverbod, unda no ta permiti pa 4 hende of mas ta hunto riba caya, solamente si ta famia biba bou mesun dak	Starting March 29, 2020, a Shelter in Place is into effect for the entire population, as announced in the AB2020No.43. This means that you are not allowed to leave the house, only for necessary things, such as buying food, going to the pharmacy, exercising or getting gas. The measures apply to non-essential groups. See overview of non-essential businesses/ activities. Businesses must instruct their customers that they must keep 2 meters apart. If the social distance rule is not enforced, companies will be closed and fined. A ban on gathering (loitering) has also been issued, in particular the prohibition of group formation in public space by 4 or more people, with the exception of families living under the same roof
Scolnan lo ta cera entrante dialuna 16 di maart te cu 20 di april2020, despues lo evalua e situacion.  E medida tuma ta conta pa scol, creche y tur instancia cu ta encarga cu educacion y cuido di nos muchanan. Wak e carta di Minister di Enseñansa di 26 maart 2020	Schools are closed starting Monday, March 16 till April 20, 2020. This measure applies to schools, daycare centers, and all organizations that are in charge of the education and care of our children. After this date the situation will be evaluated. See letter of the Minister of Education
Toque de queda ta keda na vigor di 9 or di anochi te cu 6 or di mainta cu excepcion pa Botica na Warda y Hospital, conforme AB2020No.39	The curfew is still in effect from 9:00 pm until 6:00 am. Exceptions are the pharmacies on duty and the hospital as stated in the Official Gazette AB2020No.39
Scolnan lo ta cera entrante dialuna 16 di maart te cu 20 di april2020, despues lo evalua e situacion.  E medida tuma ta conta pa scol, creche y tur instancia cu ta encarga cu educacion y cuido di nos muchanan. Wak e carta di Minister di Enseñansa di 26 maart 2020	Schools are closed starting Monday, March 16 till April 20, 2020. This measure applies to schools, daycare centers, and all organizations that are in charge of the education and care of our children. After this date the situation will be evaluated. See letter of the Minister of Education. 
Entrante 24 maart 2020 tur bar y restaurant mester ta cera. Unico excepcion ta pa take-out, drive thru y delivery di cuminda. Tur establecimento mester cera 8.00 pm. Pompnan  di gasoline por keda habri te cu 8 or di anochi	Starting Tuesday, March 24, 2020, all bars and restaurant must close. Only exceptions are take-out, drive thru and food delivery. All establishments must close at 8.00 pm. Gasoline stations must also close at 8.00 pm
Entrante 24 di maart 2020 ta prohibi pa bende lotto, catochi of otro sorto di loteria	Starting March 24, 2020 it is prohibited to sell or offer lotteries, lotto, catochi or other forms of gambling
A tuma e decision cu tur residente pega den exterior y cu ta inscribi na registro civil (Censo) por regresa Aruba. Aruba Tourism Authority ta encarga cu coordinacion di nan regreso. Linea di contacto pa Arubianonan residente cu ta pega den exterior 569-6897, 5689251 of 5637928. Na yegada lo pone e personanan den cuarentena pa 14 dia	The decision was made that all residents (inscribed in the civil registry of Aruba) stuck abroad are allowed to return to Aruba.The Aruba Tourism Authority is in charge with the coordination of their return. Contact numbers for assistance or registration are: 569-6897, 5689251 of 5637928. Upon arrival these people will be placed in quarantine for 14 days
Entrante 21 di maart ta introduci un toque de queda (verplichte avondklok, curfew) for di 9'or di anochi te 6'or di mainta. Unico excepcion ta e trahadonan di instancianan vital. Nan tin cu haya un prueba di nan doño di trabou cu nan por mustra polis. Persona cu no cumpli cu e toque de queda por haya un multa di te cu AWG. 10.000,00. Por haya mas informacion den e AB2020No.38 di 20 maart 2020	Starting Saturday, March 21, 2020, a compulsory curfew will be set from 9 pm to 6 am. Only vital groups are allowed to go to work, but employees of the vital authorities must be able to show proof of their employers to the police. Persons who do not observe the curfew can be fined up to AWG. 10,000.00. For more information, you may consult the Official Gazette AB2020no.38 of  March 2020, 2020
Entrante 19 di maart tur Casino y Teatro di pelicula y gym tin cu cera. Actividadnan deportivo den grupo tin cu stop di tuma lugar. Tur establecimento mester cera 8:00 PM. Esaki ta conta pa bar y restaurant di hotelnan tambe.Tin excepcion pa:botica na warda, restaurant solamente via drive tru  y delivery, nan por cera 10:00 PM. Pompnan di gasoline por keda habri te cu 10:00 PM sirbiendo via di bentana. Instancianan cu no cumpli e orara di cierre di tienda obligatoria por haya un boet te cu AWG. 1.000,00. Por haya mas informacion den AB2020No.35	Starting Thursday, March 19,  2020, all casinos, movie theaters and gyms must close. Team sports activities are not allowed. All establishments, shops, restaurants and businesses must close at 8.00 pm. This also applies to hotels bars and restaurants. Exceptions: Pharmacy on duty, restaurants that offer  drive-thru and delivery service, Gasoline stations. only with service through the window. These establishments must close at 10:00 pm. Companies that do not adhere to the mandatory closing time can be fined up to AWG. 1000.00. For more information, you may consult the Official Gazette AB2020No.35
Scolnan lo ta cera entrante dialuna 16 di maart te cu 30 maart 2020, despues lo evalua e situacion.  E medida tuma ta conta pa scol, creche y tur instancia cu ta encarga cu educacion y cuido di nos muchanan	Schools are closed starting Monday, March 16 till March 31, 2020. This measure applies to schools, daycare centers, and all organizations that are in charge of the education and care of our children. After this date the situation will be evaluated
Entrante diasabra 21 di maart te cu 31 di maart 2020 no ta admiti residente na Aruba (update 19 di maart 2020). Mas informacion por haya den e AB2020No.36.  Ta restringui vuelonan for di tur pais entrante 17 di maart te cu 31 di maart 2020, cu excepcion di residentenan y carga. Linea di contacto pa Arubianonan residente cu ta pega den exterior 569-6897, 5689251 of 5637928. Por fabor, tene cuenta cu lo siguiente: Por tuma yamada regular of via WhatsApp – tambe por manda texto via WhatsApp; Mester ta residente (ingezetene ) inscribi den registro civil di Aruba; Aerolineanan Mericano ta exigi 2 tipo di ID – pa prueba cu un persona ta residente di Aruba (cedula); Aerolineanan di Latam no ta exigi esaki; Personanan dependiente di asuntonan di AZV, por fabor yama AZV pa regla regreso pa Aruba, y mustra bo kaarchi di AZV; Lamantablemente, na e momento aki, Venezuela ta full sera; no por move ciudadanonan f’or di e pais; nos ta conseha pa e personanan aki tuma contacto cu embahada Hulandes na Caracas	As per Saturday, March 21 till March 31, 2020 Aruban residents are not permitted to return to Aruba (update March 19, 2020). For more information, you may consult the Official Gazette AB2020No.36. As per Tuesday, March 17, 2020, till March 31, 2020, the entry of travelers (inbound flights) will be restricted, except for legal residents and cargo.  Contact numbers for residents of Aruba stuck abroad (because of the border closure) are: 569-6897, 5689251 of 5637928. Please take into account: You can also call via Whatsapp or send a Whatsapp text message; You must be a citizen meaning you must be registered in the civil registry of Aruba; The USA airlines require 2 types of ID, as proof that the person is a resident of Aruba (ID card). Latin American airlines do not have this requirement. Persons who were send abroad by AZV, must call AZV to make arrangement to return to Aruba and must show the AZV card. Unfortunately the border with Venezuela is totally closed, hence citizens cannot return. We advise persons stuck in Venezuela to contact the Dutch Ambassador in Caracas
Desde 14 di maart Aeropuerto Internacional Reina Beatrix a eleva su control riba buelonan procedente di paisnan cu no ta cay bou di e lista di restrincion, pa ser exacto paisnan Europeo	Since March 14, 2020, the Queen Beatrix International Airport elevated its control on flights arriving from other countries that do not fall under the travel restriction
Ta prohibi haci bishita na e casnan di cuido di nos grandinan	Visits at nursing homes are prohibited
Departamento di Gobierno lo traha a base di personal minimo. Lo duna servicio  na publico, lo evita aglomeracion (wak carta di Minister President mr. Eveln Wever-Croes)	Government departments will operate with minimal staffing (see letter of the Prime Minister Mrs. Evelyn Wever-Croes in Dutch)
Awor nos mester concentra pa contene y preveni cu e virus ta wordo transmiti	Now we must focus on containing and preventing the transmission of the virus
Nos ta pidi tu hende atención pa esaki	We urge everyone to comply with these measures
E decisionnan aki a ser tuma despues di amplio deliberacion cu e comision di crisis di Gobierno di Aruba	were taken in close consultation with the crisis committee of the Government of Aruba
Esnan di mas riesgo ta nos grandinan riba 60 aña e esnan cu ta sufri di malesa cronico	Those most at risk for serious complication from COVID-19 are people older than 60 years and people with chronic diseases
Laba man mas tanto posibel pa 20 seconde y uza habon of hand sanitizer	Wash your hands as frequently as possible with soap for 20 seconds or use hand sanitizers with at least 60% alcohol
Evita di bin den contacto cu otronan, saludo otro sin duna man, brasa of sunchi	Avoid physical contact, greet one another without shaking hands, hugging or kissing
Wak e video tocante con coronavirus ta plama di un hende pa otro	Watch the video about the spread of coronavirus
Wak e video conoce e sintomanan di corona virus	Watch the video about the spread of coronavirus
Wak e video fight the transmission of CoronaVirus  with Carl Roosberg- Galloway Jr. It starts with you	Watch the video of the Department of Public Health fight the transmission of Coronavrus  with Carl Roosberg- Galloway Jr. It starts with you
Gobierno di Aruba a anuncia cu despues di consulta profundo cu tur instancia concerni, e frontera lo habri entrante 15 di juni 2020	The Government of Aruba announces that after many deliberations with all parties concerned, the government of Aruba has decided to open the borders as of June 15, 2020
Frontera lo habri den diferente fase	The borders will be open in different phases
Lo tuma e medidanan necesario di prevencion pa protega e comunidad di Aruba como tambe nos bishitantenan	Necessary precautions will be taken to protect the Aruban community as well as our visitors
Lo habri frontera pa Europa, Canada y Caribe cu excepcion di Republica Dominicana y Haiti	International borders for Europe, Canada and the Caribbean will reopen for travel with the exception of The Dominican Republic and Haiti
Ta habri pa henter Merca	Borders will reopen for travel to the United States
Mas informacion por haya riba e website di Aruba Tourism Authority (ATA):	More information is provided on the website of the Aruba Tourism Authority:
Discurso di Pasco di Gobernador di Aruba 2018	Governor Christmas speech 2018
Gobernador di Aruba Alfonso Boekhoudt a duna su mensahe di Pasco riba 24 december ultimo	The Governor of Aruba Alfonso Boekhoudt gave his traditional annual Christmas speech on 24 December
Por a wak e prome discurso di Pasco di Gobernador via e canalnan di television local	The governor's Christmas speech was broadcast on the local television stations
Por lesa aki e texto integral di e mensahe di Pasco di Excelencia Gobernador Boekhoudt	Read Governor Alfonso Boekhoudt 's speech transcript
E siguiente condicionnan ta aplicabel riba e potret	The following conditions apply to the photo
Gabinete di Gobernador di Aruba (KabGA tin derecho di autor riba e potret den e seccion aki y ta reserva esaki explicitamente	The copyright on the photograph in this section rests with the Cabinet of the Governor of Aruba (KabGA) and is expressly reserved
Sin embargo, ta permiti pa uza e potret pa uzo editorial door di e medionan di comunicacion, pa exhib’e den lugarnan publico, pa uzo priva y pa meta educativo. Sin embargo, KabGA ta reserva e derecho di actua si e metodo di publicacion di e potret, segun opinion di KabGA, ta contra dignidad gubernamental, ta considera su uzo como di indole promocional (propaganda) of ta uz’e cu un proposito idealista	However, it is permitted to use the photographs for editorial use in news media, for display in public places, private use and educational purposes
KabGA lo no reacciona riba pregunta di tercera personanan si tuma medida (legal).den algun caso	The KabGA does not respond to questions from third parties if in certain cases (legal) steps are taken.
Cambio di clima 	Climate change
Kiko e ta	What is it
Directie Natuur en Milieu kier informa mas tocante e significado di cambio di clima	The Department of Nature ad Environment wants to inform the community about climate change
con esaki ta tuma lugar, kico ta e consecuencianan y kico nos por haci na Aruba pa aporta na un reduccion di e efectonan di e fenomeno aki	What is climate change? What is causing climate change and what can we do in Aruba to reduce the impact of climate change
E terminologia cu ta uza, manera Carbon dioxide, fossil fuel, methane, nitrous oxide halocarbons (CTC’s, HFC’s, PFC’s), Sulphur hexafluoride, hopi biaha ta confundi hende, pero nan ta referi na e fenomeno mas tanto papia di dje rond mundo, cu ta cambio di clima	The frequently used terms like Carbon dioxide, fossil fuel, methane, nitrous oxide halocarbons (CTC’s, HFC’s. PFC’s) Sulphur hexafluoride can be confusing for many, but they all refer to the most common discussed phenomena: Climate change
Carbon dioxide ta keda produci ora uza fossil fuel pa genera energia y ora corta, rosa, kima y elimina gran cantidad di area (mondinan)	Carbon dioxide is produced by burning fossil fuels to generate electricity and all other forms of mechanical use of fossil fuels like deforestation with heavy equipment
Actividadnan humano tambe ta contribui na cambio di clima door di laga atras greenhouse gases	Human activity is also contributing to climate change with the emission of greenhouse gasses
Otro actividad cu ta contribui na e fenomeno aki ta agricultura	Agriculture is also a contributor to the climate change
Methane ta produci nitrous oxide den cantidad grandi y esaki ta keda emiti ora, por ehempel ta uza fertilisante	Methane produces large amounts of nitrous oxide which is released when using fertilizers
Cria di bestia ta produci 37% y 65% di e emision di methane y nitrous oxide, respectivamente	Animal farming produces 37% methane emission and 65% of nitrous oxide
Aunke cu carbon dioxide ta e gas cu ta mas mal mira rond di mundo como e gas cu mas ta aporta na cambio di clima, e dos tipo di gasnan aki ta 30 biaha mas potente y daniño cu carbon dioxide	While the focus has primarily been on carbon dioxide as being the wrongdoer, methane and nitrous oxide are 30 times more harmful compared to carbon dioxide
Cambio di clima ta afectando e produccion di cuminda y e impacto lo ta devastador den fututo	Climate change is affecting food production and it will only become worst in the future
Cambio di clima ta trece cune periodonan extremo, por ehempel periodo di secura cu lo aumenta, como tambe temporada di horcan cu lo bira mas y mas potente	Climate change will cause extreme weather periods; droughts will last longer, while hurricanes will become stronger and bigger
Temperatura mas halto lo causa cu den e areanan unda poco awacero ta cay, lo bira mas dificil pa cria bestia y/of planta	Increasing temperatures will make it impossible to produce any kind of food in drier areas
E datonan di United Nations ta sugeri cu mundialmente, mester reduci pa aña 2050, 80% di e emision di gasnan di greenhouse den paisnan desaroya, p’asina por keda bou di e average stipula di un aumento di temperatura cu 2 grado Celcius	According to the United Nations, 80% of greenhouse gasses should be reduced by 2050 in order to stay below the average temperature increase of 2 degrees celsius
Halocarbons ta kimiconan artificial y e otro cu ta contene sulphur cu ta keda emiti door di proceso industrial	Halocarbons are artificial chemicals and together with sulphur hexafluoride are emitted by the industrial productions
E cambio di clima lo tin un impacto riba e medio ambiente globalmente, incluyendo Aruba	Climate change will have a global impact on the environment, including for Aruba
En general mas liher e cambio di clima, mas halto e riesgo pa sufri dañonan	The quicker the climate changes, the higher the risks for potential disasters
E cambio di nivel di lama ta proyecta di subi entre 9 pa 88cm pa aña 2100, causando inundacionan den areanan abou	The sea level is projected to rise anywhere from 9 cm to 88 cm by 2100, causing inundations on the lower areas
Tin temporada cu e temperatura lo subi mas cu nos ta custumbra y lo tin riesgo mas halto di horcan y di mal tempo	There will be seasons where the temperatures will be higher then usual with a higher risk for storms and hurricanes
E efectonan na caminda pa Aruba, cu awor caba ya nos ta experencia, ta inundacionnan	The upcoming effects for Aruba, will be flooding
Esaki lo aumenta, si nos no haci nada cu e fluho di awa	This will only become more frequent in the event nothing is done with the discharge of rainwater
Mal tempo, olanan tropical y e frecuencia, como tambe e magnitud di horcan lo aumenta	Storms and tropical waves will increase in frequency, while hurricanes will also become stronger
Consecuencia di esaki ta cu Aruba lo core mas riesgo, particularmente na unda a construi riba beach of na unda a kita matanan di mangel pa desaroya tereno	Consequently Aruba will be at risk, particularly near the constructed areas on the beach and where mangroves have been removed for developments
Temperatura lo subi y na unda tin mas construccion esaki lo aumenta mas cu na unda tin vegetacion	The temperatures will rise, in particular near the developed areas compared to the green areas
Kico nos por haci localmente pa contribui na un reduccion di e cambio di clima	What can we do in order to help reduce the effects of climate change
Spaar energia door di uza luz y aparatonan cu no ta uza hopi electricidad	Save energy by using energy efficient lightbulbs and appliances
Core auto cu ta uza menos gasoline	Drive fuel efficient cars
Come menos carni y mas berdura	Eat less meats and more produce
Conserva mata local den bo cura, planta mata rond di cas	Preserve local flora while growing more plants around your house
Refleha riba bo uzo di electricidad y reta bo mes pa reduci bo footprint pa e aña venidero	Contemplate about your electrical use and set new goals to reduce your footprint for the upcoming year
Lo ta un bon idea pa calcula bo carbon footprint	Know your carbon footprint, use the carbon footprint calculator
Directie Natuur en Milieu kier haci un yamada di urgencia pa nos como humanidad considera y haci cambionan necesario pa contribui menos na Climate Change	Directie Natuur en Milieu is pleading the community to consider and make the necessary changes to have a minimal impact on climate change
No ta importa con chikito nos Aruba ta, pero si cada un di nos haci algo, lo contribui grandemente na e reduccion	It does not matter how small Aruba is, together we can have a positive effect on climate change
Limite di salario a aumenta entrante 1 januari 2019	Increase wage limit as per January 1, 2019
Ministerio di Asuntonan Social y Labor y Departamento di Labor y Investigacion (DAO) ta informa cu e limite di salario pa aplicacion di e Ordenansa Laboral 2013 (Arbeidsverordening 2013) lo subi entrante 1 januari 2019	The Ministry of Social Affairs and Labor and the Department of Labor and Research (DAO) announces that as per January 1, 2019 the wage limit for the application of the Labor Ordinance 2013 will increase
Entrante 1 januari 2019 e factor cu ta uza pa calcula e limite di salario pa aplicacion di e Ordenansa Laboral 2013 ta aumenta di 2.4 pa 2.5	As of January 1, 2019, the factor for calculating the wage limit for the application of the Labor Ordinance 2013 will increase from 2.4 to 2.5
Ta determina e limite di salario door di multiplica e salario minimo cu un factor di 2.5	The wage limit is determined by multiplying the minimum wage by a factor of 2.5
Salario minimo (Awg. 1.711,15) x factor 2.5= Awg. 4.277,88	Minimum wage (Awg. 1.711,15) x factor 2.5 = Awg. 4.277,88
Esaki ta encera cu trahadonan cu ta gana un salario di Awg. 4.277,88 pa luna of Awg. 51.334,56 pa aña of menos ta cay bou di proteccion di e Ordenansa Laboral 2013 y tin derecho riba tur e condicionnan di trabou stipula den e ley aki, manera orarionan maximo di trabou pa dia y pa siman, dianan di sosiego, pago di overtime y pago riba dianan di fiesta	This means that employees with a monthly salary of Awg. 4.277,88 or Awg. 51.334,56 per year or less fall under the protection of the Labor Ordinance 2013, and are entitled to the conditions specified in this ordinance, including maximum working hours per day and per week, rest days, overtime pay and paid holidays or holiday and commemoration days
